id,name,location,type, price sale ,bathrooms,price
122,"Studio Unit  in Suntrust Amadea Tower 2, Quezon City","Paligsahan, Quezon City",Rent,"3,040,080",1,"30,401"
123,ARIA Townhouse (End)  in Idesia Dasmarinas Phase 2,"San Agustin I, Dasmarinas",Rent,"3,050,000",2,"30,500"
124,"2-Bedroom House  at Camella Balanga Heights in Balanga City, Bataan | Ezabell","Cupang Proper, Balanga",Rent,"3,071,000",1,"30,710"
125,2-Bedroom Single Attached House and Lot  in Ajoya Pampanga (Mexico) - with Sp,"Eden, Mexico",Rent,"3,100,000",,"31,000"
126,"2-Bedroom House  at Camella Monticello in San Jose del Monte, Bulacan | Ezabe","Sapang Palay, San Jose del Monte",Rent,"3,109,000",1,"31,090"
127,"1BR Condo Unit (33sqm)   in Tivoli Condo, Talamban, Cebu City","Talamban, Cebu",Rent,"3,110,000",1,"31,100"
128,"Studio Unit (27 sqm)  in Suntrust Shanata, Novaliches, Quezon City","Novaliches, Quezon City",Rent,"3,113,220",,"31,132"
129,"Aeon Duplex Bungalow SD  in Sentosa, Calamba Laguna","Punta, Calamba",Rent,"3,124,880",1,"31,249"
130,"Single Detached Bungalow House (Aeon Combined)  in Suntrust Sentosa, Calamba,","Punta, Calamba",Rent,"3,124,880",2,"31,249"
131,"Studio Unit  in Suntrust Amadea Tower 1, Quezon City, 3.17M","Paligsahan, Quezon City",Rent,"3,167,280",2,"31,673"
132,Suntrust Amadea Tower 1 - Studio Unit  in Quezon City,"Paligsahan, Quezon City",Rent,"3,167,280",,"31,673"
133,Suntrust Amadea Tower 1 - Studio Unit  in Quezon City,"Paligsahan, Quezon City",Rent,"3,167,280",2,"31,673"
134,"3-Bedroom House and Lot  in The Arcadia | Boundary of Angeles and Porac, Pamp","Manibaug Paralaya, Porac",Rent,"3,177,163",1,"31,772"
135,"Studio Unit (27 sqm)  in City Clou, Cebu City","Zapatera, Cebu",Rent,"3,199,000",2,"31,990"
136,"2BR 1-Storey Single-Attached House  in Ara Vista Village, General Trias Cavit","Biclatan, General Trias",Rent,"3,199,000",2,"31,990"
137,"2-Storey 3-Bedroom Townhome End Unit  in Estanzia Enclave, Tanza, Cavite","Halayhay, Tanza",Rent,"3,200,000",1,"32,000"
138,"2-Bedroom House  at Camella Provence in Malolos City, Bulacan | Criselle, NRF","Longos, Malolos",Rent,"3,243,000",2,"32,430"
139,Suntrust Kirana - Studio Unit  in Pasig City,"Pinagbuhatan, Pasig",Rent,"3,297,501",,"32,975"
140,": Studio Unit in Suntrust Kirana, Pasig City","Pinagbuhatan, Pasig",Rent,"3,297,501",2,"32,975"
